iter	Passed	Remaining
1245	11450	6928
1246	11458	6919
1247	11466	6909
1248	11474	6899
1249	11482	6889
1250	11491	6879
1251	11500	6870
1252	11507	6860
1253	11514	6850
1254	11521	6839
1255	11529	6829
1256	11537	6819
1257	11545	6809
1258	11553	6799
1259	11560	6789
1260	11567	6779
1261	11575	6769
1262	11583	6759
1263	11590	6748
1264	11597	6738
1265	11604	6728
1266	11611	6717
1267	11621	6708
1268	11629	6698
1269	11637	6689
1270	11649	6681
1271	11664	6675
1272	11672	6666
1273	11684	6658
1274	11698	6652
1275	11712	6645
1276	11725	6638
1277	11738	6631
1278	11752	6625
1279	11764	6617
1280	11776	6609
1281	11789	6602
1282	11797	6592
1283	11804	6582
1284	11813	6573
1285	11821	6563
1286	11829	6553
1287	11837	6543
1288	11844	6533
1289	11852	6523
1290	11860	6513
1291	11868	6503
1292	11875	6493
1293	11883	6483
1294	11890	6473
1295	11898	6463
1296	11906	6453
1297	11914	6443
1298	11922	6433
1299	11929	6423
1300	11938	6414
1301	11947	6404
1302	11955	6395
1303	11965	6386
1304	11972	6376
1305	11980	6366
1306	11989	6356
1307	11996	6346
1308	12005	6337
1309	12012	6327
1310	12040	6327
1311	12048	6318
1312	12057	6308
1313	12065	6299
1314	12074	6289
1315	12082	6280
1316	12090	6270
1317	12098	6260
1318	12107	6250
1319	12115	6241
1320	12123	6231
1321	12132	6222
1322	12139	6212
1323	12149	6203
1324	12157	6193
1325	12165	6183
1326	12173	6174
1327	12181	6164
1328	12190	6155
1329	12198	6145
1330	12206	6135
1331	12214	6125
1332	12221	6115
1333	12230	6106
1334	12238	6096
1335	12246	6086
1336	12254	6076
1337	12261	6066
1338	12269	6057
1339	12277	6047
1340	12285	6037
1341	12292	6027
1342	12300	6017
1343	12308	6007
1344	12316	5998
1345	12324	5988
1346	12334	5979
1347	12343	5970
1348	12352	5961
1349	12363	5952
1350	12375	5944
1351	12393	5940
1352	12425	5941
1353	12452	5941
1354	12474	5938
1355	12495	5934
1356	12515	5930
1357	12535	5926
1358	12555	5922
1359	12576	5918
1360	12593	5912
1361	12615	5909
1362	12632	5903
1363	12652	5899
1364	12671	5894
1365	12692	5890
1366	12708	5884
1367	12722	5877
1368	12730	5867
1369	12738	5857
1370	12746	5848
1371	12754	5838
1372	12764	5829
1373	12773	5819
1374	12782	5810
1375	12792	5801
1376	12800	5791
1377	12809	5781
1378	12818	5772
1379	12826	5762
1380	12834	5752
1381	12847	5745
1382	12856	5735
1383	12864	5725
1384	12873	5716
1385	12882	5706
1386	12891	5697
1387	12899	5687
1388	12908	5678
1389	12917	5668
1390	12926	5659
1391	12935	5650
1392	12944	5640
1393	12953	5631
1394	12963	5622
1395	12972	5612
1396	12979	5602
1397	12988	5593
1398	12997	5583
1399	13006	5574
1400	13015	5564
1401	13022	5554
1402	13031	5544
1403	13039	5535
1404	13047	5525
